doc_type	doc_id	num	date_str	description	url_metadata	lang	newspaper_id	time_ut
lk_news	2026-01-08-dailyftlk-8bbc2547	dailyftlk-8bbc2547	2026-01-08	JKH Group contributes Rs. 400 m to ‘Rebuilding Sri Lanka’ Fund	https://www.ft.lk/business/JKH-Group-contributes-Rs-400-m-to-Rebuilding-Sri-Lanka-Fund/34-786679	en	dailyftlk	1767840530.0
lk_news	2026-01-08-dailyftlk-ca4ca1b6	dailyftlk-ca4ca1b6	2026-01-08	India’s Maha Bodhi Society donates Rs. 10 m for Ditwah relief	https://www.ft.lk/business/India-s-Maha-Bodhi-Society-donates-Rs-10-m-for-Ditwah-relief/34-786678	en	dailyftlk	1767840418.0
lk_news	2026-01-08-dailyftlk-e67e700c	dailyftlk-e67e700c	2026-01-08	Police officers donate day’s salary	https://www.ft.lk/business/Police-officers-donate-day-s-salary/34-786677	en	dailyftlk	1767840359.0
lk_news	2026-01-08-dailyftlk-91e281a6	dailyftlk-91e281a6	2026-01-08	British Sri Lankan Muslim Organisations donate  £ 25,000 to rebuilding and disaster recovery efforts	https://www.ft.lk/business/British-Sri-Lankan-Muslim-Organisations-donate-25-000-to-rebuilding-and-disaster-recovery-efforts/34-786676	en	dailyftlk	1767840313.0
lk_news	2026-01-08-dailyftlk-d792297b	dailyftlk-d792297b	2026-01-08	Korea Exim Bank extends humanitarian aid to Sri Lanka	https://www.ft.lk/business/Korea-Exim-Bank-extends-humanitarian-aid-to-Sri-Lanka/34-786675	en	dailyftlk	1767840240.0
lk_news	2026-01-08-dailyftlk-86b13849	dailyftlk-86b13849	2026-01-08	OSC raises Rs. 1.1 m for Colombo Friend-in-Need Society	https://www.ft.lk/business/OSC-raises-Rs-1-1-m-for-Colombo-Friend-in-Need-Society/34-786674	en	dailyftlk	1767840219.0
lk_news	2026-01-08-tamilmirrorlk-d805cc76	tamilmirrorlk-d805cc76	2026-01-08	ரஷ்ய எண்ணெய் கப்பலை பின்தொடரும் அமெரிக்கா	https://www.tamilmirror.lk/உலக-செய்திகள்/ரஷ்ய-எண்ணெய்-கப்பலை-பின்தொடரும்-அமெரிக்கா/50-370761	ta	tamilmirrorlk	1767839415.0
lk_news	2026-01-08-tamilmirrorlk-ddc161a0	tamilmirrorlk-ddc161a0	2026-01-08	’கிரீன்லாந்தை அமெரிக்கா கைப்பற்றினால் நேட்டோ உடைந்து சிதறும்’	https://www.tamilmirror.lk/உலக-செய்திகள்/கிரீன்லாந்தை-அமெரிக்கா-கைப்பற்றினால்-நேட்டோ-உடைந்து-சிதறும்/50-370760	ta	tamilmirrorlk	1767838367.0
lk_news	2026-01-08-tamilmirrorlk-46cb79fe	tamilmirrorlk-46cb79fe	2026-01-08	அ.தி.மு.க. - பா.ம.க இணைவு	https://www.tamilmirror.lk/செய்திகள்/அ-தி-மு-க-பா-ம-க-இணைவு/175-370759	ta	tamilmirrorlk	1767837801.0
lk_news	2026-01-08-tamilmirrorlk-e56c65a5	tamilmirrorlk-e56c65a5	2026-01-08	இலங்கைக்கு கிழக்கே தாழமுக்கம்	https://www.tamilmirror.lk/செய்திகள்/இலங்கைக்கு-கிழக்கே-தாழமுக்கம்/175-370758	ta	tamilmirrorlk	1767836883.0
